SWMM5 Interface File
*MODEL: Sewer catchment model to simulate sewer discharge from Central Fehraltorf to the the treatment plant at ARA Fehraltorf. This model includes the observed transfer flows from RUMLIKON at location 'f02' (node 555) and RUSSIKON at location 'f03' (node 11d). The model is not complete and may still contain errors! 
300  - reporting time step in sec
1    - number of constituents as listed below:
FLOW LPS
8    - number of nodes as listed below:
103d_SBW
ARA_Fehraltorf
Bacheinlauf1
Bacheinlauf2
Bacheinlauf30
Bacheinlauf47
Node_8
Notentlastung_48b
Node             Year Mon Day Hr  Min Sec FLOW      
Bacheinlauf47    2016 06  16  03  50  00  0.000000  
Node_8           2016 06  16  03  50  00  0.000000  
Notentlastung_48b 2016 06  16  03  50  00  0.000000  
103d_SBW         2016 06  16  03  55  00  0.001913  
ARA_Fehraltorf   2016 06  16  03  55  00  58.011784 
Bacheinlauf1     2016 06  16  03  55  00  0.000000  
Bacheinlauf2     2016 06  16  03  55  00  0.001231  
Bacheinlauf30    2016 06  16  03  55  00  0.000000  
Bacheinlauf47    2016 06  16  03  55  00  0.000000  
Node_8           2016 06  16  03  55  00  0.000000  
Notentlastung_48b 2016 06  16  03  55  00  0.000000  
103d_SBW         2016 06  16  04  00  00  0.000931  
ARA_Fehraltorf   2016 06  16  04  00  00  60.656953 
Bacheinlauf1     2016 06  16  04  00  00  0.000000  
Bacheinlauf2     2016 06  16  04  00  00  0.000000  
Bacheinlauf30    2016 06  16  04  00  00  0.000000  
Bacheinlauf47    2016 06  16  04  00  00  0.000000  
Node_8           2016 06  16  04  00  00  0.000000  
Notentlastung_48b 2016 06  16  04  00  00  0.000000  
103d_SBW         2016 06  16  04  05  00  0.051046  
ARA_Fehraltorf   2016 06  16  04  05  00  62.324643 
Bacheinlauf1     2016 06  16  04  05  00  0.000000  
Bacheinlauf2     2016 06  16  04  05  00  0.001920  
Bacheinlauf30    2016 06  16  04  05  00  0.000000  
Bacheinlauf47    2016 06  16  04  05  00  0.000000  
Node_8           2016 06  16  04  05  00  0.000000  
Notentlastung_48b 2016 06  16  04  05  00  0.000000  
103d_SBW         2016 06  16  04  10  00  0.276607  
ARA_Fehraltorf   2016 06  16  04  10  00  63.951453 
Bacheinlauf1     2016 06  16  04  10  00  0.000000  
Bacheinlauf2     2016 06  16  04  10  00  0.018961  
Bacheinlauf30    2016 06  16  04  10  00  0.000000  
Bacheinlauf47    2016 06  16  04  10  00  0.000000  
Node_8           2016 06  16  04  10  00  0.000000  
Notentlastung_48b 2016 06  16  04  10  00  0.000000  
